Avg TRACK Score,Present_Percent,"Soft Skill Score
(Out of 3)",Techability Score (Out of 2.0),Learnability Score (Out of 2.0),Communicability Score (Out of 1.0),Degree %,10th %,12th %,Consistency_in_Acadamics,Pick Highest Degree,Highest Degree Stream,Tech Excelence,Resilience,Ability to Learn,Communication,Knowledge,Mapped to Company
3.14,1.0,2.46,1.1475,1.4880000000000002,0.792,7.48,9.328,8.483,1,1,1,0.675,0.718,0.77,0.792,0.4725,1
3.11,1.0,2.19,1.045625,1.374,0.718,7.85,8.0,6.790000000000001,1,1,1,0.590625,0.696,0.6779999999999999,0.718,0.455,1
4.24,1.0,2.63,1.4775,1.806,0.9279999999999999,5.746,8.28,6.984999999999999,2,1,1,0.9625,0.902,0.904,0.9279999999999999,0.515,0
4.19,1.0,2.64,1.55875,1.734,0.904,6.2,7.833,5.9,2,4,3,0.85875,0.8420000000000001,0.892,0.904,0.7,0
4.19,1.0,2.88,1.84,1.955,0.97,5.8,7.632,7.734,2,1,1,0.965,0.985,0.97,0.97,0.875,1
4.51,1.0,2.2460683760683757,1.685,1.85,0.97,5.1,5.8,7.1,3,4,3,0.94,0.91,0.97,0.805,1.685,0
3.97,0.97,1.4,1.4675,1.504,0.78,7.4,9.7,9.1,1,1,1,0.764,0.74,0.78,0.6775,1.4675,0
4.57,1.0,2.2460683760683757,1.775,1.82,0.97,5.981,7.981999999999999,6.75,2,1,3,0.895,0.925,0.97,0.865,1.775,1
4.71,1.0,3.0,1.7875,1.94,0.985,6.7,6.8,6.7,1,1,1,0.97,0.97,0.985,0.8475,1.7875,0
4.71,1.0,2.2460683760683757,1.7875,1.94,0.985,7.034000000000001,8.042,7.517,1,1,2,0.97,0.97,0.985,0.8475,1.7875,0
3.58,0.91,2.16,1.413125,1.466,0.7020000000000001,6.0009999999999994,7.164,5.05,2,1,1,0.758,0.708,0.7020000000000001,0.755,1.413125,1
4.33,1.0,2.2460683760683757,1.6875,1.835,0.91,5.8,7.123,7.4430000000000005,2,1,1,0.91,0.925,0.91,0.83,1.6875,0
4.39,1.0,2.2460683760683757,1.659375,1.865,0.94,6.16,9.036,7.0,1,1,1,0.925,0.94,0.94,0.783125,1.659375,1
4.86,1.0,2.2460683760683757,1.851875,1.955,1.0,6.48,8.16,6.414,1,1,1,0.955,1.0,1.0,0.9075,1.851875,0
3.36,1.0,2.09,1.504375,1.55,0.725,5.557,7.909000000000001,6.0,2,1,1,0.805,0.745,0.725,0.7725,1.504375,1
4.36,1.0,2.2460683760683757,1.555,1.865,0.94,6.51,6.352,6.95,1,1,1,0.91,0.955,0.94,0.725,1.555,0
4.24,0.96,2.88,1.4809999999999999,1.808,0.9640000000000001,7.17,9.8,9.43,1,1,1,0.856,0.9520000000000001,0.9640000000000001,0.616,1.4809999999999999,1
4.72,0.96,2.2460683760683757,1.774,1.9280000000000002,0.988,8.36,8.9,6.8,1,1,1,0.94,0.988,0.988,0.7859999999999999,1.774,1
4.59,0.96,2.2460683760683757,1.682,1.952,0.9640000000000001,6.9,8.1,7.508,1,1,1,0.9640000000000001,0.988,0.9640000000000001,0.6940000000000001,1.682,1
4.44,1.0,3.0,1.6225,1.868,0.988,7.031999999999999,9.7,9.23,1,1,1,0.9159999999999999,0.9520000000000001,0.988,0.815,1.6225,1
3.8,1.0,2.88,1.365,1.692,0.8320000000000001,5.915,6.645999999999999,5.7829999999999995,2,1,2,0.804,0.888,0.8320000000000001,0.705,1.365,1
4.07,1.0,3.0,1.5325,1.724,0.904,7.41,7.9799999999999995,9.24,1,1,2,0.892,0.8320000000000001,0.904,0.775,1.5325,1
